Date,DateActualData,Cumulative Cases Reported,"Cumulative Cases Reported 
 (RESIDENTS)","Cumulative Cases Reported 
 (NON-RESIDENTS)","Cumulative Cases Reported and Confirmed by PCR
 (RESIDENTS)","Cumulative Cases Reported and Confirmed by Antigen
 (RESIDENTS)","Cumulative Cases Reported and Confirmed by PCR
 (NON-RESIDENTS)","Cumulative Cases Reported and Confirmed by Antigen
 (NON-RESIDENTS)",Total Tested - FL Residents
10/6/2020,10/5/2020,"720,125","711,358","8,767","692,335","19,023","8,249",518,"5,419,343"
10/5/2020,10/4/2020,"717,874","709,157","8,717","690,604","18,553","8,214",503,"5,398,488"
10/4/2020,10/3/2020,"716,459","707,751","8,708","689,253","18,498","8,200",508,"5,362,326"
10/3/2020,10/2/2020,"714,615","705,965","8,650","687,700","18,265","8,155",495,"5,362,516"
10/2/2020,10/1/2020,"711,804","703,212","8,592","685,380","17,832","8,110",482,"5,311,806"
10/1/2020,9/30/2020,"709,144","700,602","8,542","683,148","17,454","8,061",481,"5,311,806"
9/30/2020,9/29/2020,"706,516","698,051","8,465","681,129","16,922","8,001",464,"5,287,218"
9/29/2020,9/28/2020,"704,568","696,171","8,397","679,513","16,658","7,948",449,"5,276,220"
9/28/2020,9/27/2020,"701,302","692,962","8,340","676,712","16,250","7,900",440,"5,247,825"
9/27/2020,9/26/2020,"700,564","692,234","8,330","676,033","16,201","7,894",436,"5,239,619"
9/26/2020,9/25/2020,"698,682","690,387","8,295","674,330","16,057","7,867",428,"5,221,217"
9/25/2020,9/24/2020,"695,887","687,656","8,231","671,909","15,747","7,814",417,"5,192,258"
9/24/2020,9/23/2020,"693,040","684,847","8,193","669,456","15,391","7,779",414,"5,165,815"
9/23/2020,9/22/2020,"690,499","682,370","8,129","667,341","15,029","7,720",409,"5,142,356"
9/22/2020,9/21/2020,"687,909","679,776","8,133","665,194","14,582","7,738",395,"5,118,720"
9/21/2020,9/20/2020,"685,439","677,362","8,077","663,172","14,190","7,697",380,"5,099,693"
9/20/2020,9/19/2020,"683,754","675,691","8,063","661,506","14,185","7,683",380,"5,054,955"
9/19/2020,9/18/2020,"681,233","673,194","8,039","659,147","14,047","7,661",378,"5,054,955"
9/18/2020,9/17/2020,"677,660","669,684","7,976","655,976","13,708","7,605",371,"5,024,730"
9/17/2020,9/16/2020,"674,456","666,507","7,949","653,089","13,418","7,576",373,"4,997,489"
9/16/2020,9/15/2020,"671,201","663,234","7,967","650,185","13,049","7,589",378,"4,970,495"
9/15/2020,9/14/2020,"668,846","660,946","7,900","648,279","12,667","7,537",363,"4,955,265"
9/14/2020,9/13/2020,"665,730","658,203","7,527","645,799","12,404","7,169",358,"4,927,775"
9/13/2020,9/12/2020,"663,994","656,485","7,509","644,180","12,305","7,155",354,"4,910,702"
9/12/2020,9/11/2020,"661,571","654,090","7,481","641,864","12,226","7,128",353,"4,888,491"
9/11/2020,9/10/2020,"658,381","650,922","7,459","639,124","11,798","7,113",346,"4,863,570"
9/10/2020,9/9/2020,"654,731","647,318","7,413","635,910","11,408","7,072",341,"4,837,107"
9/9/2020,9/8/2020,"652,148","644,781","7,367","633,787","10,994","7,037",330,"4,818,178"
9/8/2020,9/7/2020,"650,092","642,775","7,317","632,146","10,629","6,999",318,"4,803,934"
9/7/2020,9/6/2020,"648,269","640,978","7,291","630,479","10,499","6,957",334,"4,788,781"
9/6/2020,9/5/2020,"646,431","639,166","7,265","628,731","10,435","6,934",331,"4,750,980"
9/5/2020,9/4/2020,"643,867","636,653","7,214","626,376","10,277","6,888",326,"4,750,980"
9/4/2020,9/3/2020,"640,211","633,060","7,151","623,160","9,900","6,833",318,"4,727,240"
9/3/2020,9/2/2020,"637,013","629,913","7,100","620,332","9,581","6,792",308,"4,704,959"
9/2/2020,9/1/2020,"633,442","626,426","7,016","617,233","9,193","6,720",296,"4,681,135"
9/1/2020,8/31/2020,"631,040","624,116","6,924","615,240","8,876","6,643",281,"4,663,302"
8/31/2020,8/30/2020,"623,471","616,629","6,842","608,109","8,520","6,583",259,"4,603,050"
8/30/2020,8/29/2020,"621,586","614,753","6,833","606,336","8,417","6,575",258,"4,587,076"
8/29/2020,8/28/2020,"619,003","612,206","6,797","603,892","8,314","6,540",257,"4,562,680"
8/28/2020,8/27/2020,"615,806","609,074","6,732","600,982","8,092","6,488",244,"4,535,184"
8/27/2020,8/26/2020,"611,991","605,342","6,649","597,508","7,834","6,413",236,"4,504,911"
8/26/2020,8/25/2020,"608,722","602,113","6,609","594,604","7,509","6,375",234,"4,480,431"
8/25/2020,8/24/2020,"605,502","599,176","6,326","591,989","7,187","6,078",248,"4,454,485"
8/24/2020,8/23/2020,"602,829","596,511","6,318","589,591","6,920","6,064",254,"4,435,085"
8/23/2020,8/22/2020,"600,571","594,287","6,284","587,629","6,658","6,037",247,"4,416,603"
8/22/2020,8/21/2020,"597,597","591,283","6,314","584,680","6,603","6,062",252,"4,389,768"
8/21/2020,8/20/2020,"593,286","587,023","6,263","580,588","6,435","6,012",251,"4,355,148"
8/20/2020,8/19/2020,"588,602","582,407","6,195","576,315","6,092","5,949",246,"4,323,688"
8/19/2020,8/18/2020,"584,047","577,891","6,156","572,079","5,812","5,918",238,"4,294,217"
8/18/2020,8/17/2020,"579,932","573,811","6,121","568,161","5,650","5,887",234,"4,266,865"
8/17/2020,8/16/2020,"576,094","570,024","6,070","564,528","5,496","5,839",231,"4,240,770"
8/16/2020,8/15/2020,"573,416","567,375","6,041","561,901","5,474","5,812",229,"4,220,532"
8/15/2020,8/14/2020,"569,637","563,628","6,009","558,171","5,457","5,783",226,"4,190,626"
8/14/2020,8/13/2020,"563,285","557,337","5,948","552,000","5,337","5,726",222,"4,148,396"
8/13/2020,8/12/2020,"557,137",,,,,,,
8/12/2020,8/11/2020,"550,901",,,,,,,
8/11/2020,8/10/2020,"542,792",,,,,,,
8/10/2020,8/9/2020,"536,961",,,,,,,
8/9/2020,8/8/2020,"532,806",,,,,,,
8/8/2020,8/7/2020,"526,577",,,,,,,
8/7/2020,8/6/2020,"518,075",,,,,,,
8/6/2020,8/5/2020,"510,389",,,,,,,
8/5/2020,8/4/2020,"502,739",,,,,,,
8/4/2020,8/3/2020,"497,330",,,,,,,
8/3/2020,8/2/2020,"491,884",,,,,,,
8/2/2020,8/1/2020,"487,132",,,,,,,
8/1/2020,7/31/2020,"480,028",,,,,,,
7/31/2020,7/30/2020,"470,386",,,,,,,
7/30/2020,7/29/2020,"461,379",,,,,,,
7/29/2020,7/28/2020,"451,423",,,,,,,
7/28/2020,7/27/2020,"441,977",,,,,,,
7/27/2020,7/26/2020,"432,747",,,,,,,
7/26/2020,7/25/2020,"423,855",,,,,,,
7/25/2020,7/24/2020,"414,511",,,,,,,
7/24/2020,7/23/2020,"402,312",,,,,,,
7/23/2020,7/22/2020,"389,868",,,,,,,
7/22/2020,7/21/2020,"379,619",,,,,,,
7/21/2020,7/20/2020,"369,834",,,,,,,
7/20/2020,7/19/2020,"360,394",,,,,,,
7/19/2020,7/18/2020,"350,047",,,,,,,
7/18/2020,7/17/2020,"337,569",,,,,,,
7/17/2020,7/16/2020,"327,241",,,,,,,
7/16/2020,7/15/2020,"315,775",,,,,,,
7/15/2020,7/14/2020,"301,810",,,,,,,
7/14/2020,7/13/2020,"291,629",,,,,,,
7/13/2020,7/12/2020,"282,435",,,,,,,
7/12/2020,7/11/2020,"269,811",,,,,,,
7/11/2020,7/10/2020,"254,511",,,,,,,
7/10/2020,7/9/2020,"244,151",,,,,,,
7/9/2020,7/8/2020,"232,718",,,,,,,
7/8/2020,7/7/2020,"223,783",,,,,,,
7/7/2020,7/6/2020,"213,794",,,,,,,
7/6/2020,7/5/2020,"206,447",,,,,,,
7/5/2020,7/4/2020,"200,111",,,,,,,
7/4/2020,7/3/2020,"190,052",,,,,,,
7/3/2020,7/2/2020,"178,594",,,,,,,
7/2/2020,7/1/2020,"169,106",,,,,,,
7/1/2020,6/30/2020,"158,997",,,,,,,
6/30/2020,6/29/2020,"152,434",,,,,,,
6/29/2020,6/28/2020,"146,341",,,,,,,
6/28/2020,6/27/2020,"141,075",,,,,,,
6/27/2020,6/26/2020,"132,545",,,,,,,
6/26/2020,6/25/2020,"122,960",,,,,,,
6/25/2020,6/24/2020,"114,018",,,,,,,
6/24/2020,6/23/2020,"109,014",,,,,,,
6/23/2020,6/22/2020,"103,503",,,,,,,
6/22/2020,6/21/2020,"100,217",,,,,,,
6/21/2020,6/20/2020,"97,291",,,,,,,
6/20/2020,6/19/2020,"93,797",,,,,,,
6/19/2020,6/18/2020,"89,748",,,,,,,
6/18/2020,6/17/2020,"85,926",,,,,,,
6/17/2020,6/16/2020,"82,719",,,,,,,
6/16/2020,6/15/2020,"80,109",,,,,,,
6/15/2020,6/14/2020,"77,326",,,,,,,
6/14/2020,6/13/2020,"75,568",,,,,,,
6/13/2020,6/12/2020,"73,552",,,,,,,
6/12/2020,6/11/2020,"70,971",,,,,,,
6/11/2020,6/10/2020,"69,069",,,,,,,
6/10/2020,6/9/2020,"67,371",,,,,,,
6/9/2020,6/8/2020,"66,000",,,,,,,
6/8/2020,6/7/2020,"64,904",,,,,,,
6/7/2020,6/6/2020,"63,938",,,,,,,
6/6/2020,6/5/2020,"62,758",,,,,,,
6/5/2020,6/4/2020,"61,488",,,,,,,
6/4/2020,6/3/2020,"60,183",,,,,,,
6/3/2020,6/2/2020,"58,764",,,,,,,
6/2/2020,6/1/2020,"57,447",,,,,,,
6/1/2020,5/31/2020,"56,830",,,,,,,
5/31/2020,5/30/2020,"56,163",,,,,,,
5/30/2020,5/29/2020,"55,424",,,,,,,
5/29/2020,5/28/2020,"54,497",,,,,,,
5/28/2020,5/27/2020,"53,285",,,,,,,
5/27/2020,5/26/2020,"52,634",,,,,,,
5/26/2020,5/25/2020,"52,255",,,,,,,
5/25/2020,5/24/2020,"51,746",,,,,,,
5/24/2020,5/23/2020,"50,867",,,,,,,
5/23/2020,5/22/2020,"50,127",,,,,,,
5/22/2020,5/21/2020,"49,451",,,,,,,
5/21/2020,5/20/2020,"48,675",,,,,,,
5/20/2020,5/19/2020,"47,471",,,,,,,
5/19/2020,5/18/2020,"46,944",,,,,,,
5/18/2020,5/17/2020,"46,442",,,,,,,
5/17/2020,5/16/2020,"45,588",,,,,,,
5/16/2020,5/15/2020,"44,811",,,,,,,
5/15/2020,5/14/2020,"43,210",,,,,,,
5/14/2020,5/13/2020,"43,210",,,,,,,
5/13/2020,5/12/2020,"42,402",,,,,,,
5/12/2020,5/11/2020,"41,923",,,,,,,
5/11/2020,5/10/2020,"40,982",,,,,,,
5/10/2020,5/9/2020,"40,596",,,,,,,
5/9/2020,5/8/2020,"40,001",,,,,,,
5/8/2020,5/7/2020,"39,199",,,,,,,
5/7/2020,5/6/2020,"38,828",,,,,,,
5/6/2020,5/5/2020,"38,002",,,,,,,
5/5/2020,5/4/2020,"37,439",,,,,,,
5/4/2020,5/3/2020,"36,897",,,,,,,
5/3/2020,5/2/2020,"36,078",,,,,,,
5/2/2020,5/1/2020,"35,463",,,,,,,
5/1/2020,4/30/2020,"34,728",,,,,,,
4/30/2020,4/29/2020,"33,690",,,,,,,
4/29/2020,4/28/2020,"33,193",,,,,,,
4/28/2020,4/27/2020,"32,846",,,,,,,
4/27/2020,4/26/2020,"32,138",,,,,,,
4/26/2020,4/25/2020,"31,528",,,,,,,
4/25/2020,4/24/2020,"30,839",,,,,,,
4/24/2020,4/23/2020,"30,174",,,,,,,
4/23/2020,4/22/2020,"28,832",,,,,,,
4/22/2020,4/21/2020,"28,309",,,,,,,
4/21/2020,4/20/2020,"27,495",,,,,,,
4/20/2020,4/19/2020,"26,660",,,,,,,
4/19/2020,4/18/2020,"25,996",,,,,,,
4/18/2020,4/17/2020,"25,269",,,,,,,
4/17/2020,4/16/2020,"24,119",,,,,,,
4/16/2020,4/15/2020,"22,897",,,,,,,
4/15/2020,4/14/2020,"22,511",,,,,,,
4/14/2020,4/13/2020,"21,367",,,,,,,
4/13/2020,4/12/2020,"20,601",,,,,,,
4/12/2020,4/11/2020,"19,355",,,,,,,
4/11/2020,4/10/2020,"18,494",,,,,,,
4/10/2020,4/9/2020,"17,531",,,,,,,
4/9/2020,4/8/2020,"16,364",,,,,,,
4/8/2020,4/7/2020,"15,455",,,,,,,
4/7/2020,4/6/2020,"14,747",,,,,,,
4/6/2020,4/5/2020,"13,324",,,,,,,
4/5/2020,4/4/2020,"12,151",,,,,,,
4/4/2020,4/3/2020,"11,111",,,,,,,
4/3/2020,4/2/2020,"9,585",,,,,,,
4/2/2020,4/1/2020,"8,010",,,,,,,
4/1/2020,3/31/2020,"6,955",,,,,,,
3/31/2020,3/30/2020,"6,338",,,,,,,
3/30/2020,3/29/2020,"5,473",,,,,,,
3/29/2020,3/28/2020,"4,246",,,,,,,
3/28/2020,3/27/2020,"3,763",,,,,,,
3/27/2020,3/26/2020,"2,765",,,,,,,
3/26/2020,3/25/2020,"2,355",,,,,,,
3/25/2020,3/24/2020,"1,682",,,,,,,
3/24/2020,3/23/2020,"1,412",,,,,,,
3/23/2020,3/22/2020,"1,171",,,,,,,
3/22/2020,3/21/2020,830,,,,,,,
3/21/2020,3/20/2020,658,,,,,,,
3/20/2020,3/19/2020,520,,,,,,,
3/19/2020,3/18/2020,390,,,,,,,
3/18/2020,3/17/2020,314,,,,,,,
3/17/2020,3/16/2020,186,,,,,,,
3/16/2020,3/15/2020,141,,,,,,,
3/15/2020,3/14/2020,116,,,,,,,
3/14/2020,3/13/2020,77,,,,,,,
3/13/2020,3/12/2020,50,,,,,,,
3/12/2020,3/11/2020,32,,,,,,,
3/11/2020,3/10/2020,28,,,,,,,
3/10/2020,3/9/2020,19,,,,,,,
3/9/2020,3/8/2020,18,,,,,,,
3/8/2020,3/7/2020,17,,,,,,,
3/7/2020,3/6/2020,14,,,,,,,
3/6/2020,3/5/2020,9,,,,,,,
3/5/2020,3/4/2020,9,,,,,,,
3/4/2020,3/3/2020,2,,,,,,,
