2020-10-19,,,,,2020-10-28,,
Statistic,Positive Tests,Total Tests,,,Statistic,Positive Tests,Total Tests
2020-06-19,13311,118096,,,2020-06-27,14278,143661
2020-06-18,13240,115283,,,2020-06-26,14070,140226
2020-06-17,13176,112422,,,2020-06-25,13893,135387
2020-06-16,13067,107562,,,2020-06-24,13798,132268
2020-06-15,13004,106106,,,2020-06-23,13640,127288
2020-06-14,12964,105127,,,2020-06-22,13553,125054
2020-06-13,12898,102479,,,2020-06-21,13501,123870
2020-06-12,12845,99738,,,2020-06-20,13420,121566
2020-06-11,12785,96849,,,2020-06-19,13311,118099
2020-06-10,12677,93478,,,2020-06-18,13240,115286
2020-06-09,12592,91062,,,2020-06-17,13176,112425
2020-06-08,12525,89443,,,2020-06-16,13067,107565
2020-06-07,12467,87779,,,2020-06-15,13004,106109
2020-06-06,12395,85795,,,2020-06-14,12964,105130
2020-06-05,12321,84794,,,2020-06-13,12898,102482
2020-06-04,12235,83694,,,2020-06-12,12845,99741
2020-06-03,12146,82787,,,2020-06-11,12785,96852
2020-06-02,12044,80890,,,2020-06-10,12677,93481
2020-06-01,11956,79031,,,2020-06-09,12592,91065
2020-05-31,11858,77799,,,2020-06-08,12525,89446
2020-05-30,11799,77241,,,2020-06-07,12467,87782
2020-05-29,11726,76475,,,2020-06-06,12395,85798
2020-05-28,11617,74818,,,2020-06-05,12321,84796
2020-05-27,11436,72536,,,2020-06-04,12235,83696
2020-05-26,11255,69827,,,2020-06-03,12146,82789
2020-05-25,11121,68775,,,2020-06-02,12044,80892
2020-05-24,11041,67981,,,2020-06-01,11956,79033
2020-05-23,10914,66237,,,2020-05-31,11858,77801
2020-05-22,10786,65223,,,2020-05-30,11799,77243
2020-05-21,10680,64093,,,2020-05-29,11726,76477
2020-05-20,10503,61807,,,2020-05-28,11617,74820
2020-05-19,10326,60329,,,2020-05-27,11436,72538
2020-05-18,10177,59223,,,2020-05-26,11255,69829
2020-05-17,10053,58052,,,2020-05-25,11121,68777
2020-05-16,9932,57172,,,2020-05-24,11041,67983
2020-05-15,9840,56189,,,2020-05-23,10914,66239
2020-05-14,9619,54096,,,2020-05-22,10786,65225
2020-05-13,9344,51062,,,2020-05-21,10680,64095
2020-05-12,9210,49670,,,2020-05-20,10503,61809
2020-05-11,9044,48328,,,2020-05-19,10326,60331
2020-05-10,8876,47224,,,2020-05-18,10177,59225
2020-05-09,8782,46478,,,2020-05-17,10053,58054
2020-05-08,8671,45525,,,2020-05-16,9932,57174
2020-05-07,8445,43895,,,2020-05-15,9840,56191
2020-05-06,8292,41948,,,2020-05-14,9619,54098
2020-05-05,8095,39889,,,2020-05-13,9344,51064
2020-05-04,7904,38179,,,2020-05-12,9210,49672
2020-05-03,7635,36802,,,2020-05-11,9044,48330
2020-05-02,7400,35677,,,2020-05-10,8876,47226
2020-05-01,7226,34827,,,2020-05-09,8782,46480
2020-04-30,6985,33658,,,2020-05-08,8671,45527
2020-04-29,6742,32496,,,2020-05-07,8445,43897
2020-04-28,6528,31574,,,2020-05-06,8292,41950
2020-04-27,6355,30831,,,2020-05-05,8095,39891
2020-04-26,6152,29984,,,2020-05-04,7904,38181
2020-04-25,5997,29153,,,2020-05-03,7635,36804
2020-04-24,5780,28423,,,2020-05-02,7400,35679
2020-04-23,5464,27375,,,2020-05-01,7226,34829
2020-04-22,5095,26109,,,2020-04-30,6985,33660
2020-04-21,4768,24876,,,2020-04-29,6742,32497
2020-04-20,4548,24107,,,2020-04-28,6528,31575
2020-04-19,4173,23011,,,2020-04-27,6355,30832
2020-04-18,4051,22628,,,2020-04-26,6152,29984
2020-04-17,3825,21927,,,2020-04-25,5997,29153
2020-04-16,3465,20985,,,2020-04-24,5780,28423
2020-04-15,3258,20194,,,2020-04-23,5464,27375
2020-04-14,2925,19223,,,2020-04-22,5095,26109
2020-04-13,2754,18509,,,2020-04-21,4768,24876
2020-04-12,2523,17794,,,2020-04-20,4548,24107
2020-04-11,2405,17303,,,2020-04-19,4173,23011
2020-04-10,2230,16750,,,2020-04-18,4051,22628
2020-04-09,2080,16062,,,2020-04-17,3825,21927
2020-04-08,1852,14964,,,2020-04-16,3465,20985
2020-04-07,1729,14303,,,2020-04-15,3258,20194
2020-04-06,1547,13434,,,2020-04-14,2925,19223
2020-04-05,1298,12216,,,2020-04-13,2754,18509
2020-04-04,1203,11555,,,2020-04-12,2523,17794
2020-04-03,1053,10694,,,2020-04-11,2405,17303
2020-04-02,834,9447,,,2020-04-10,2230,16750
2020-04-01,665,8376,,,2020-04-09,2080,16062
2020-03-31,504,7170,,,2020-04-08,1852,14964
2020-03-30,437,6600,,,2020-04-07,1729,14303
2020-03-29,353,6058,,,2020-04-06,1547,13434
2020-03-28,292,5468,,,2020-04-05,1298,12216
2020-03-27,244,5011,,,2020-04-04,1203,11555
2020-03-26,183,4469,,,2020-04-03,1053,10694
2020-03-25,145,3993,,,2020-04-02,834,9447
2020-03-24,101,3562,,,2020-04-01,665,8376
2020-03-23,94,3148,,,2020-03-31,504,7170
2020-03-22,82,2729,,,2020-03-30,437,6600
2020-03-21,68,2366,,,2020-03-29,353,6058
2020-03-20,42,2102,,,2020-03-28,292,5468
2020-03-19,37,1732,,,2020-03-27,244,5011
2020-03-18,26,1386,,,2020-03-26,183,4469
2020-03-17,22,1201,,,2020-03-25,145,3993
2020-03-16,17,897,,,2020-03-24,101,3562
2020-03-15,2,417,,,2020-03-23,94,3148
2020-03-14,2,351,,,2020-03-22,82,2729
2020-03-13,0,120,,,2020-03-21,68,2366
2020-03-12,0,60,,,2020-03-20,42,2102
2020-03-11,0,28,,,2020-03-19,37,1732
2020-03-10,0,19,,,2020-03-18,26,1386
2020-03-09,0,12,,,2020-03-17,22,1201
2020-03-08,0,10,,,2020-03-16,17,897
,,,,,2020-03-15,2,417
,,,,,2020-03-14,2,351
,,,,,2020-03-13,0,120
,,,,,2020-03-12,0,60
,,,,,2020-03-11,0,28
,,,,,2020-03-10,0,19
,,,,,2020-03-09,0,12
,,,,,2020-03-08,0,10
