,Backfill Analysis,,,,,,,,,,,,,,Auto Fetch:,ANTIBODY_TOTAL,ANTIBODY_POS,ANTIBODY_NEG,SPECIMENS,SPECIMENS_POS,SPECIMENS_NEG,CONFIRMED,TOTAL,POSITIVE,NEGATIVE,PENDING,CURR_HOSP,HOSP,CURR_ICU,ICU,CURR_VENT,VENT,RECOVERED,DEATH,DEATH_CONFIRMED,DEATH_PROBABLE
,2020-06-02,2,4,,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-01,1,3,,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-31,1,3,,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-30,,,,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-29,,,,34,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-28,,,,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-27,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-26,,,,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-25,,,,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-24,,,,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-23,,,,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-22,,,,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-21,,,,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-20,,,,31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-19,,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-18,,,,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-17,,,,32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-16,,,,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-15,,,,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-14,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-13,,,,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-12,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-11,,,,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-10,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-09,,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-08,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-07,,,,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-06,,,,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-05,,,,45,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-04,,,,31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-03,,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-02,,,,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-01,,,,32,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-30,,,,38,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-29,,,,41,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-28,,,,44,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-27,,,,41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-26,,,,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-25,,,,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-24,,,,34,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-23,,,,56,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-22,,,,56,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-21,,,,71,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-20,,,,54,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-19,,,,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-18,,,,54,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-17,,,,59,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-16,,,,71,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-15,,,,67,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-14,,,,60,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-13,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-12,,,,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-11,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-10,,,,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-09,,,,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-08,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-07,,,,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-06,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-05,,,,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-04,,,,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-03,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-02,,,,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-01,,,,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-31,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-30,,,,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-29,,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-28,,,,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-27,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-26,,,,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
