,Backfill Analysis,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,,,,,,,,,,
,Date,"Positive Cases (People, confirmed + probable)",Proposed,Spot check value,Positive Cases (PCR),Proposed,Spot check value,Probable Cases,Proposed,Spot check value,Total Test Encounters (PCR),Proposed,Spot check value,Total PCR Tests (People),Proposed,diff (should = nonresidents),Spot check value,,Sensitivity,0.01,,,,,
,2020-02-04,,0,,,,,,,,,6,,,,0,,,,,,,,,
,2020-02-03,,0,,,,,,,,,4,,,,0,,,,,,,,,
,2020-02-02,,0,,,,,,,,,4,,,,0,,,,,,,,,
,2020-02-01,,0,,,,,,,,,4,,,,0,,,,,,,,,
,2020-01-31,,0,,,,,,,,,4,,,,0,,,,,,,,,
,2020-01-30,,0,,,,,,,,,1,,,,0,,,,,,,,,
,2020-01-29,,0,,,,,,,,,1,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,
