Date,New Tests,,,,Date,New Tests,
2020-08-12,723793,,,,2020-08-03,662997,
2020-08-11,714671,,,,2020-08-02,654894,
2020-08-10,705927,,,,2020-08-01,652849,
2020-08-09,698949,,,,2020-07-31,649784,
2020-08-08,696949,,,,2020-07-30,642189,
2020-08-07,692799,,,,2020-07-29,634438,
2020-08-06,684692,,,,2020-07-28,625843,
2020-08-05,677186,,,,2020-07-27,617087,
2020-08-04,668581,,,,2020-07-26,608138,
2020-08-03,660090,,,,2020-07-25,605594,
2020-08-02,652036,,,,2020-07-24,600129,
2020-08-01,649984,,,,2020-07-23,589823,
2020-07-31,646915,,,,2020-07-22,579242,
2020-07-30,639359,,,,2020-07-21,567180,
2020-07-29,631652,,,,2020-07-20,555374,
2020-07-28,623111,,,,2020-07-19,546553,
2020-07-27,614376,,,,2020-07-18,543833,
2020-07-26,605474,,,,2020-07-17,536657,
2020-07-25,602922,,,,2020-07-16,522482,
2020-07-24,597458,,,,2020-07-15,509699,
2020-07-23,587183,,,,2020-07-14,495678,
2020-07-22,576644,,,,2020-07-13,481966,
2020-07-21,564631,,,,2020-07-12,472288,
2020-07-20,552862,,,,2020-07-11,469636,
2020-07-19,544090,,,,2020-07-10,461263,
2020-07-18,541357,,,,2020-07-09,446609,
2020-07-17,534185,,,,2020-07-08,434217,
2020-07-16,520053,,,,2020-07-07,420323,
2020-07-15,507300,,,,2020-07-06,408026,
2020-07-14,493331,,,,2020-07-05,395211,
2020-07-13,479684,,,,2020-07-04,392263,
2020-07-12,470065,,,,2020-07-03,390307,
2020-07-11,467406,,,,2020-07-02,385234,
2020-07-10,459032,,,,2020-07-01,373157,
2020-07-09,444432,,,,2020-06-30,361694,
2020-07-08,432113,,,,2020-06-29,349209,
2020-07-07,418294,,,,2020-06-28,339414,
2020-07-06,406069,,,,2020-06-27,336695,
2020-07-05,393325,,,,2020-06-26,330278,
2020-07-04,390380,,,,2020-06-25,320472,
2020-07-03,388427,,,,2020-06-24,311949,
2020-07-02,383386,,,,2020-06-23,303151,
2020-07-01,371382,,,,2020-06-22,294616,
2020-06-30,359986,,,,2020-06-21,288363,
2020-06-29,347561,,,,2020-06-20,286700,
2020-06-28,337832,,,,2020-06-19,283084,
2020-06-27,335117,,,,2020-06-18,276716,
2020-06-26,328717,,,,2020-06-17,270046,
2020-06-25,318979,,,,2020-06-16,262952,
2020-06-24,310519,,,,2020-06-15,257719,
2020-06-23,301761,,,,2020-06-14,253390,
2020-06-22,293287,,,,2020-06-13,252007,
2020-06-21,287074,,,,2020-06-12,249534,
2020-06-20,285415,,,,2020-06-11,244346,
2020-06-19,281802,,,,2020-06-10,239587,
2020-06-18,275473,,,,2020-06-09,233312,
2020-06-17,268857,,,,2020-06-08,226238,
2020-06-16,261816,,,,2020-06-07,220746,
2020-06-15,256657,,,,2020-06-06,219754,
2020-06-14,252365,,,,2020-06-05,216694,
2020-06-13,250984,,,,2020-06-04,211148,
2020-06-12,248525,,,,2020-06-03,205972,
2020-06-11,243372,,,,2020-06-02,200503,
2020-06-10,238649,,,,2020-06-01,193701,
2020-06-09,232405,,,,2020-05-31,188247,
2020-06-08,225368,,,,2020-05-30,187248,
2020-06-07,219910,,,,2020-05-29,183373,
2020-06-06,218919,,,,2020-05-28,175450,
2020-06-05,215867,,,,2020-05-27,168803,
2020-06-04,210372,,,,2020-05-26,160590,
2020-06-03,205243,,,,2020-05-25,154140,
2020-06-02,199799,,,,2020-05-24,152341,
2020-06-01,193030,,,,2020-05-23,151052,
2020-05-31,187608,,,,2020-05-22,148277,
2020-05-30,186609,,,,2020-05-21,141262,
2020-05-29,182742,,,,2020-05-20,134021,
2020-05-28,174870,,,,2020-05-19,126109,
2020-05-27,168265,,,,2020-05-18,119054,
2020-05-26,160074,,,,2020-05-17,112789,
2020-05-25,153665,,,,2020-05-16,110164,
2020-05-24,151868,,,,2020-05-15,106263,
2020-05-23,150579,,,,2020-05-14,98902,
2020-05-22,147807,,,,2020-05-13,92181,
2020-05-21,140828,,,,2020-05-12,85951,
2020-05-20,133635,,,,2020-05-11,79043,
2020-05-19,125760,,,,2020-05-10,72724,
2020-05-18,118731,,,,2020-05-09,71496,
2020-05-17,112495,,,,2020-05-08,69240,
2020-05-16,109871,,,,2020-05-07,65441,
2020-05-15,105980,,,,2020-05-06,61661,
2020-05-14,98651,,,,2020-05-05,59093,
2020-05-13,91949,,,,2020-05-04,56400,
2020-05-12,85736,,,,2020-05-03,54359,
2020-05-11,78856,,,,2020-05-02,53438,
2020-05-10,72562,,,,2020-05-01,52351,
2020-05-09,71335,,,,2020-04-30,50472,
2020-05-08,69084,,,,2020-04-29,48928,
2020-05-07,65308,,,,2020-04-28,47354,
2020-05-06,61557,,,,2020-04-27,46089,
2020-05-05,59013,,,,2020-04-26,44607,
2020-05-04,56338,,,,2020-04-25,44108,
2020-05-03,54309,,,,2020-04-24,43390,
2020-05-02,53388,,,,2020-04-23,42274,
2020-05-01,52308,,,,2020-04-22,41357,
2020-04-30,50441,,,,2020-04-21,40315,
2020-04-29,48902,,,,2020-04-20,37826,
2020-04-28,47342,,,,2020-04-19,36465,
2020-04-27,46084,,,,2020-04-18,36007,
2020-04-26,44606,,,,2020-04-17,35197,
2020-04-25,44107,,,,2020-04-16,33881,
2020-04-24,43389,,,,2020-04-15,32746,
2020-04-23,42273,,,,2020-04-14,31276,
2020-04-22,41356,,,,2020-04-13,30241,
2020-04-21,40314,,,,2020-04-12,28978,
2020-04-20,37825,,,,2020-04-11,28591,
2020-04-19,36464,,,,2020-04-10,27776,
2020-04-18,36006,,,,2020-04-09,26537,
2020-04-17,35196,,,,2020-04-08,25396,
2020-04-16,33880,,,,2020-04-07,24151,
2020-04-15,32745,,,,2020-04-06,23070,
2020-04-14,31275,,,,2020-04-05,21742,
2020-04-13,30240,,,,2020-04-04,21206,
2020-04-12,28977,,,,2020-04-03,20357,
2020-04-11,28590,,,,2020-04-02,18899,
2020-04-10,27775,,,,2020-04-01,17623,
2020-04-09,26536,,,,2020-03-31,16075,
2020-04-08,25395,,,,2020-03-30,14826,
2020-04-07,24150,,,,2020-03-29,13576,
2020-04-06,23069,,,,2020-03-28,13121,
2020-04-05,21741,,,,2020-03-27,12561,
2020-04-04,21205,,,,2020-03-26,11365,
2020-04-03,20356,,,,2020-03-25,10175,
2020-04-02,18898,,,,2020-03-24,9117,
2020-04-01,17622,,,,2020-03-23,8272,
2020-03-31,16074,,,,2020-03-22,7550,
2020-03-30,14825,,,,2020-03-21,7241,
2020-03-29,13575,,,,2020-03-20,6753,
2020-03-28,13120,,,,2020-03-19,5865,
2020-03-27,12560,,,,2020-03-18,5019,
2020-03-26,11364,,,,2020-03-17,4046,
2020-03-25,10174,,,,2020-03-16,2990,
2020-03-24,9116,,,,2020-03-15,2077,
2020-03-23,8271,,,,2020-03-14,1669,
2020-03-22,7549,,,,2020-03-13,1245,
2020-03-21,7240,,,,2020-03-12,801,
2020-03-20,6752,,,,2020-03-11,454,
2020-03-19,5864,,,,2020-03-10,308,
2020-03-18,5018,,,,2020-03-09,201,
2020-03-17,4046,,,,2020-03-08,126,
2020-03-16,2990,,,,2020-03-07,103,
2020-03-15,2077,,,,2020-03-06,73,
2020-03-14,1669,,,,2020-03-05,48,
2020-03-13,1245,,,,2020-03-04,32,
2020-03-12,801,,,,,,
2020-03-11,454,,,,,,
2020-03-10,308,,,,,,
2020-03-09,201,,,,,,
2020-03-08,126,,,,,,
2020-03-07,103,,,,,,
2020-03-06,73,,,,,,
2020-03-05,48,,,,,,
2020-03-04,32,,,,,,
